Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 100.0.4896.127,,,2022-05-03 22:35:57,2022-05-03 22:37:45,1m - 47.948s,PASSED
,,,,,,,
Test Cases/TestCase-ViewDashboard-1,Chrome 100.0.4896.127,,,2022-05-03 22:35:58,2022-05-03 22:36:42,43.836s,PASSED
"openBrowser("""")",Chrome 100.0.4896.127,,,2022-05-03 22:36:00,2022-05-03 22:36:05,5.118s,PASSED
"navigateToUrl(""https://nk-gke-test.gcp.workmap.ai/#/signIn"")",Chrome 100.0.4896.127,,,2022-05-03 22:36:05,2022-05-03 22:36:12,7.475s,PASSED
"setText(findTestObject(""Object Repository/Page_Workmap/input_Sign in_normal_login_username""), ""pankajunk@gmail.com"")",Chrome 100.0.4896.127,,,2022-05-03 22:36:12,2022-05-03 22:36:14,1.347s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Workmap/input_Sign in_normal_login_password""), ""Piu45nT0PQ8="")",Chrome 100.0.4896.127,,,2022-05-03 22:36:14,2022-05-03 22:36:15,0.958s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/button_Log in""))",Chrome 100.0.4896.127,,,2022-05-03 22:36:15,2022-05-03 22:36:15,0.669s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/a_Go to app""))",Chrome 100.0.4896.127,,,2022-05-03 22:36:15,2022-05-03 22:36:17,2.144s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/main_Home TestingPatient Onboarding FormThi_793582""))",Chrome 100.0.4896.127,,,2022-05-03 22:36:17,2022-05-03 22:36:19,2.055s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/i_SA_custom-svg-icon""))",Chrome 100.0.4896.127,,,2022-05-03 22:36:19,2022-05-03 22:36:20,0.627s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/a_Go to app_1""))",Chrome 100.0.4896.127,,,2022-05-03 22:36:20,2022-05-03 22:36:21,1.112s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/i_SA_custom-svg-icon""))",Chrome 100.0.4896.127,,,2022-05-03 22:36:21,2022-05-03 22:36:23,1.929s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/svg""))",Chrome 100.0.4896.127,,,2022-05-03 22:36:23,2022-05-03 22:36:24,1.069s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/div_PoC Testing""))",Chrome 100.0.4896.127,,,2022-05-03 22:36:24,2022-05-03 22:36:25,0.671s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/a_Testing Queue""))",Chrome 100.0.4896.127,,,2022-05-03 22:36:25,2022-05-03 22:36:26,1.181s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/i_Automation_mdi mdi-chart-arc""))",Chrome 100.0.4896.127,,,2022-05-03 22:36:26,2022-05-03 22:36:28,2.004s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/button_Positive Patients this Week""))",Chrome 100.0.4896.127,,,2022-05-03 22:36:28,2022-05-03 22:36:30,1.536s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/li_Positive Patients""))",Chrome 100.0.4896.127,,,2022-05-03 22:36:30,2022-05-03 22:36:30,0.759s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/button_Positive Patients""))",Chrome 100.0.4896.127,,,2022-05-03 22:36:30,2022-05-03 22:36:31,1.073s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/span_Tested Patients""))",Chrome 100.0.4896.127,,,2022-05-03 22:36:31,2022-05-03 22:36:32,0.744s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/span_Home Testing""))",Chrome 100.0.4896.127,,,2022-05-03 22:36:32,2022-05-03 22:36:34,1.492s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/a_Tests""))",Chrome 100.0.4896.127,,,2022-05-03 22:36:34,2022-05-03 22:36:35,0.844s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/i_Automation_mdi mdi-chart-arc""))",Chrome 100.0.4896.127,,,2022-05-03 22:36:35,2022-05-03 22:36:36,1.953s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/button_Positives this week""))",Chrome 100.0.4896.127,,,2022-05-03 22:36:36,2022-05-03 22:36:38,1.417s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/a_Patients""))",Chrome 100.0.4896.127,,,2022-05-03 22:36:38,2022-05-03 22:36:39,0.826s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/i_Automation_mdi mdi-chart-arc""))",Chrome 100.0.4896.127,,,2022-05-03 22:36:39,2022-05-03 22:36:41,1.841s,PASSED
"click(findTestObject(""Object Repository/Page_Workmap/button_Vaccinated Patients""))",Chrome 100.0.4896.127,,,2022-05-03 22:36:41,2022-05-03 22:36:42,1.591s,PASSED
,,,,,,,
Test Cases/TestCase-AddUser-1,Chrome 100.0.4896.127,,,2022-05-03 22:36:42,2022-05-03 22:36:59,16.809s,PASSED
"openBrowser("""")",Chrome 100.0.4896.127,,,2022-05-03 22:36:43,2022-05-03 22:36:46,2.799s,PASSED
"navigateToUrl(""https://nk-gke-test.gcp.workmap.ai/#/signIn"")",Chrome 100.0.4896.127,,,2022-05-03 22:36:46,2022-05-03 22:36:53,6.522s,PASSED
